
2025/03/27 (22:33:50) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 1a1b1a44
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4aa
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff0000cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fff
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b499
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 1a1b1acc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:34:37) | ERROR: Invalid size of hex value: 4a4a2fcc

2025/03/27 (22:35:12) | ===> btop++ v.1.4.0
2025/03/27 (22:35:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 1a1b1a44
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4aa
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff0000cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fff
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4ff
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b499
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 1a1b1acc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: ff69b4cc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:12) | ERROR: Invalid size of hex value: 4a4a2fcc

2025/03/27 (22:35:25) | ===> btop++ v.1.4.0
2025/03/27 (22:35:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (22:35:28) | ===> btop++ v.1.4.0
2025/03/27 (22:35:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: 4a4a2fcc
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: 1a1b1a44
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: ff69b444
2025/03/27 (22:35:31) | ERROR: Invalid size of hex value: ff69b4cc
